Utgiftsområde,Anslag,Namn,Regeringen,C,KD,L,M,SD,V
17,10:1,Filmstöd,608444000,0.0,-155000000.0,0.0,0.0,-155000000.0,10000000.0
17,11:1,Sändningar av TV Finland,9721000,0.0,0.0,0.0,0.0,0.0,0.0
17,11:2,Forskning och dokumentation om medieutvecklingen,3471000,0.0,0.0,0.0,0.0,0.0,0.0
17,11:3,Avgift till Europeiska audiovisuella observatoriet,483000,0.0,0.0,0.0,0.0,0.0,0.0
17,11:4,Statens medieråd,24144000,0.0,0.0,0.0,0.0,-15000000.0,0.0
17,11:5,Stöd till taltidningar,47856000,0.0,0.0,0.0,0.0,0.0,0.0
17,12:1,Myndigheten för ungdoms- och civilsamhällesfrågor,59053000,0.0,40000000.0,0.0,0.0,7000000.0,0.0
17,12:2,Bidrag till nationell och internationell ungdomsverksamhet,290680000,0.0,180000000.0,20000.0,0.0,-67000000.0,0.0
17,12:3,Särskilda insatser inom ungdomspolitiken,2000000,0.0,780000000.0,0.0,0.0,0.0,0.0
17,13:1,Stöd till idrotten,2366811000,0.0,50000000.0,0.0,0.0,0.0,0.0
17,13:2,Bidrag till allmänna samlingslokaler,52164000,0.0,20000000.0,0.0,0.0,0.0,50000000.0
17,13:3,Stöd till friluftsorganisationer,97785000,0.0,20000000.0,0.0,15000000.0,5000000.0,10000000.0
17,13:4,Bidrag till riksdagspartiers kvinnoorganisationer,15000000,0.0,0.0,0.0,0.0,-15000000.0,0.0
17,13:5,Insatser för den ideella sektorn,23758000,0.0,220000000.0,0.0,0.0,0.0,0.0
17,14:1,Bidrag till folkbildningen,4829783000,0.0,-40000000.0,-300000.0,-138000000.0,-1175100000.0,0.0
17,14:2,Bidrag till tolkutbildning,60331000,0.0,0.0,0.0,0.0,0.0,0.0
17,14:3,Särskilda insatser inom folkbildningen,60000000,0.0,0.0,0.0,0.0,-60000000.0,0.0
17,14:4,Särskilt utbildningsstöd,202158000,0.0,0.0,0.0,0.0,0.0,0.0
17,15:1,Spelinspektionen,77376000,0.0,0.0,0.0,0.0,6000000.0,0.0
14,1:1,Arbetsförmedlingens förvaltningskostnader,7810253000,0.0,0.0,-502000.0,0.0,0.0,1160000000.0
27,1:1,Avgiften till Europeiska unionen,47836848000,0.0,0.0,0.0,0.0,0.0,0.0
5,1:1,Avgifter till internationella organisationer,1533554000,0.0,0.0,0.0,0.0,0.0,0.0
12,1:1,Barnbidrag,33426477000,0.0,0.0,0.0,0.0,0.0,0.0
7,1:1,Biståndsverksamhet,49985150000,0.0,0.0,0.0,-13010000000.0,-16500000000.0,0.0
18,1:1,Bostadspolitisk utveckling,20600000,0.0,-20600000.0,0.0,0.0,0.0,0.0
13,1:1,Etableringsåtgärder,142030000,0.0,0.0,0.0,0.0,-137030000.0,0.0
6,1:1,Förbandsverksamhet och beredskap,44207502000,20000000.0,0.0,0.0,0.0,1156000000.0,0.0
11,1:1,Garantipension till ålderspension,13416400000,-800000000.0,-800000000.0,-800000.0,0.0,1250000000.0,5700000000.0
25,1:1,Kommunalekonomisk utjämning,147046689000,0.0,4824000000.0,1166000.0,5649000000.0,3000000000.0,21771000000.0
1,1:1,Kungliga hov- och slottsstaten,149157000,0.0,0.0,0.0,0.0,3000000.0,-15000000.0
8,1:1,Migrationsverket,4233098000,-9204000.0,175000000.0,0.0,105000000.0,-116000000.0,0.0
20,1:1,Naturvårdsverket,645033000,25276000.0,0.0,-1000.0,10000000.0,-37000000.0,30000000.0
4,1:1,Polismyndigheten,32985967000,321450000.0,1315000000.0,400000.0,863000000.0,3145000000.0,70000000.0
19,1:1,Regionala utvecklingsåtgärder,2560937000,-350000000.0,75000000.0,26000.0,75000000.0,0.0,60000000.0
26,1:1,Räntor på statsskulden,12000000000,0.0,0.0,0.0,0.0,0.0,0.0
10,1:1,Sjukpenning och rehabilitering m.m.,41005070000,-1283800000.0,-2637400000.0,-8990000.0,-2722000000.0,-30000000.0,-360000000.0
3,1:1,Skatteverket,8202898000,-15681000.0,0.0,-21000.0,10000000.0,415000000.0,0.0
23,1:1,Skogsstyrelsen,622925000,0.0,0.0,-1000.0,40000000.0,0.0,25000000.0
9,1:1,Socialstyrelsen,765160000,0.0,0.0,-1000.0,0.0,400000000.0,10000000.0
21,1:1,Statens energimyndighet,419387000,24388000.0,0.0,11000.0,0.0,-20000000.0,2000000000.0
17,1:1,Statens kulturråd,73714000,0.0,0.0,0.0,0.0,5000000.0,0.0
16,1:1,Statens skolverk,1362338000,-55863000.0,0.0,78000.0,-71000000.0,-55000000.0,0.0
2,1:1,Statskontoret,104034000,-125000.0,0.0,0.0,0.0,0.0,0.0
15,1:1,Studiehjälp,4439614000,0.0,0.0,0.0,0.0,-240000000.0,0.0
22,1:1,Utveckling av statens transportinfrastruktur,31929785000,0.0,0.0,30000.0,0.0,500000000.0,4670000000.0
24,1:1,Verket för innovationssystem,279816000,-356000.0,-10000000.0,0.0,0.0,-72000000.0,0.0
14,1:10,Bidrag till administration av grundbeloppet,59168000,0.0,0.0,0.0,0.0,0.0,0.0
2,1:10,Bidragsfastigheter,330000000,0.0,-50000000.0,0.0,0.0,0.0,0.0
9,1:10,E-hälsomyndigheten,120078000,0.0,0.0,0.0,0.0,0.0,0.0
21,1:10,Energi- och klimatomställning på lokal och regional nivå m.m,140000000,0.0,-140000000.0,0.0,0.0,-140000000.0,0.0
4,1:10,Ersättning för skador på grund av brott,200953000,0.0,0.0,0.0,40000000.0,175000000.0,0.0
16,1:10,Fortbildning av lärare och förskolepersonal,840526000,0.0,0.0,0.0,0.0,0.0,0.0
22,1:10,Från EU-budgeten finansierade stöd till Transeuropeiska nätverk,690000000,0.0,0.0,0.0,0.0,0.0,0.0
23,1:10,Gårdsstöd m.m.,6982048000,0.0,0.0,0.0,0.0,0.0,0.0
5,1:10,Information om Sverige i utlandet,15475000,0.0,-6000000.0,0.0,0.0,0.0,0.0
20,1:10,Klimatanpassning,140000000,0.0,0.0,0.0,0.0,0.0,0.0
24,1:10,Miljösäkring av oljelagringsanläggningar,14000000,0.0,0.0,0.0,0.0,0.0,0.0
6,1:10,Nämnder m.m.,6986000,0.0,0.0,0.0,0.0,0.0,0.0
14,1:11,Bidrag till Stiftelsen Utbildning Nordkalotten,8303000,0.0,0.0,0.0,0.0,0.0,0.0
24,1:11,Bolagsverket,65542000,0.0,0.0,0.0,5000000.0,20000000.0,0.0
21,1:11,Elsäkerhetsverket,71592000,-93000.0,0.0,0.0,0.0,0.0,0.0
2,1:11,Finansinspektionen,733787000,-10935000.0,20000000.0,-1000.0,0.0,5000000.0,10000000.0
6,1:11,Försvarets materielverk,2104280000,0.0,0.0,0.0,0.0,20000000.0,-5000000.0
23,1:11,Intervention för jordbruksprodukter m.m.,167000000,0.0,0.0,0.0,0.0,0.0,0.0
9,1:11,Prestationsbundna insatser för att korta vårdköerna,3000000000,0.0,0.0,0.0,0.0,0.0,-3000000000.0
4,1:11,Rättsliga biträden m.m.,3915857000,0.0,0.0,0.0,0.0,50000000.0,0.0
5,1:11,Samarbete inom Östersjöregionen,175215000,0.0,0.0,0.0,0.0,0.0,10000000.0
16,1:11,Skolforskningsinstitutet,25450000,-532000.0,0.0,0.0,0.0,0.0,0.0
22,1:11,Trängselskatt i Stockholm,1943400000,0.0,0.0,0.0,0.0,0.0,0.0
20,1:11,Åtgärder för havs- och vattenmiljö,1579565000,201000000.0,0.0,0.0,220000000.0,50000000.0,0.0
24,1:12,Bidrag till Kungl. Ingenjörsvetenskapsakademien,8327000,0.0,0.0,0.0,0.0,1000000.0,0.0
14,1:12,Bidrag till lönegarantiersättning,1310000000,0.0,0.0,0.0,0.0,0.0,0.0
6,1:12,Försvarsunderrättelsedomstolen,10874000,0.0,0.0,0.0,0.0,0.0,0.0
20,1:12,Insatser för internationella klimatinvesteringar,154100000,0.0,0.0,0.0,60000000.0,50000000.0,0.0
9,1:12,Inspektionen för vård och omsorg,778757000,0.0,25000000.0,-2000.0,0.0,13000000.0,0.0
4,1:12,Kostnader för vissa skaderegleringar m.m.,39987000,0.0,0.0,0.0,0.0,0.0,0.0
16,1:12,Praktiknära skolforskning,32043000,0.0,0.0,0.0,0.0,0.0,0.0
2,1:12,Riksgäldskontoret,338983000,-420000.0,0.0,-1000.0,0.0,0.0,0.0
23,1:12,Stödåtgärder för fiske och vattenbruk,36200000,0.0,0.0,0.0,0.0,0.0,0.0
22,1:12,Transportstyrelsen,2367233000,-6153000.0,0.0,-8000.0,0.0,0.0,0.0
4,1:13,Avgifter till vissa internationella sammanslutningar,19174000,0.0,0.0,0.0,0.0,0.0,0.0
16,1:13,Bidrag till lärarlöner,4875000000,0.0,0.0,500000.0,0.0,325000000.0,-300000000.0
2,1:13,Bokföringsnämnden,13907000,-19000.0,0.0,0.0,0.0,0.0,0.0
23,1:13,Från EU-budgeten finansierade stödåtgärder för fiske och vattenbruk,174200000,0.0,0.0,0.0,0.0,0.0,0.0
20,1:13,Internationellt miljösamarbete,47400000,0.0,0.0,0.0,0.0,0.0,0.0
24,1:13,Konkurrensverket,169438000,-231000.0,0.0,0.0,0.0,5000000.0,0.0
14,1:13,"Nystartsjobb, etableringsjobb och stöd för yrkesintroduktionsanställningar",4771685000,0.0,0.0,650000.0,1628000000.0,-2400000000.0,0.0
22,1:13,Trafikanalys,69709000,-98000.0,0.0,0.0,0.0,0.0,0.0
4,1:14,Bidrag till lokalt brottsförebyggande arbete,70157000,0.0,0.0,500000.0,0.0,0.0,0.0
14,1:14,Etableringsersättning till vissa nyanlända invandrare,1094895000,0.0,0.0,101000.0,45000000.0,-550000000.0,350000000.0
24,1:14,Konkurrensforskning,10804000,0.0,0.0,0.0,0.0,0.0,0.0
23,1:14,Livsmedelsverket,344398000,0.0,0.0,0.0,5000000.0,0.0,0.0
20,1:14,Skydd av värdefull natur,3725500000,-1705000000.0,0.0,0.0,-2005000000.0,-2005000000.0,0.0
16,1:14,Särskilda insatser inom skolområdet,203418000,0.0,0.0,60000.0,0.0,0.0,0.0
22,1:14,Trängselskatt i Göteborg,1025200000,0.0,0.0,0.0,0.0,0.0,0.0
2,1:14,Vissa garanti- och medlemsavgifter,290116000,0.0,0.0,0.0,0.0,0.0,0.0
20,1:15,Havs- och vattenmyndigheten,307151000,-7528000.0,0.0,0.0,0.0,-60000000.0,0.0
23,1:15,Konkurrenskraftig livsmedelssektor,204160000,0.0,0.0,0.0,70000000.0,0.0,0.0
14,1:15,Omställnings- och kompetensstöd genom den offentliga omställningsorganisationen,75000000,0.0,0.0,0.0,0.0,0.0,0.0
22,1:15,Sjöfartsstöd,1550000000,0.0,0.0,0.0,0.0,500000000.0,0.0
2,1:15,Statens servicecenter,882068000,-1104000.0,20000000.0,-1000.0,0.0,0.0,0.0
16,1:15,Statligt stöd för stärkt likvärdighet och kunskapsutveckling,6553500000,-323500000.0,0.0,0.0,0.0,-6553500000.0,0.0
4,1:15,Säkerhets- och integritetsskyddsnämnden,24804000,0.0,0.0,0.0,0.0,0.0,0.0
24,1:15,Upprustning och drift av Göta kanal,122510000,0.0,20000000.0,0.0,0.0,0.0,0.0
23,1:16,Bidrag till vissa internationella organisationer m.m.,46913000,0.0,0.0,0.0,0.0,0.0,0.0
16,1:16,Bidrag till vissa studier,17525000,0.0,0.0,0.0,0.0,0.0,0.0
4,1:16,Domarnämnden,9823000,0.0,0.0,0.0,0.0,0.0,0.0
2,1:16,Finansmarknadsforskning,49933000,-1000.0,0.0,0.0,0.0,0.0,0.0
22,1:16,Internationell tågtrafik,45000000,0.0,0.0,0.0,0.0,-45000000.0,0.0
20,1:16,Klimatinvesteringar,2755000000,0.0,0.0,1800000.0,-800000000.0,-2755000000.0,0.0
24,1:16,Omstrukturering och genomlysning av statligt ägda företag,18850000,0.0,0.0,0.0,0.0,0.0,0.0
4,1:17,"Från EU-budgeten finansierade insatser avseende EU:s inre säkerhet, gränsförvaltning och visering",226900000,0.0,0.0,0.0,0.0,0.0,0.0
22,1:17,Infrastruktur för flygtrafiktjänst,299000000,0.0,0.0,0.0,0.0,0.0,0.0
24,1:17,Kapitalinsatser i statligt ägda företag,1000000,0.0,0.0,0.0,0.0,0.0,0.0
20,1:17,Klimatpremier,1600500000,200000000.0,0.0,-900000.0,0.0,-1331000000.0,0.0
16,1:17,Statligt stöd till vuxenutbildning,5417422000,60000000.0,0.0,160000.0,0.0,0.0,300000000.0
2,1:17,Upphandlingsmyndigheten,111079000,-15233000.0,0.0,0.0,0.0,0.0,0.0
23,1:17,Åtgärder för landsbygdens miljö och struktur,3783297000,0.0,0.0,0.0,0.0,0.0,960000000.0
24,1:18,Avgifter till vissa internationella organisationer,16860000,0.0,0.0,0.0,0.0,0.0,0.0
22,1:18,Bidrag för upprätthållande av kollektivtrafik,1000000000,0.0,0.0,0.0,500000000.0,0.0,3000000000.0
23,1:18,Från EU-budgeten finansierade åtgärder för landsbygdens miljö och struktur,4088310000,0.0,0.0,0.0,0.0,0.0,0.0
16,1:18,Myndigheten för yrkeshögskolan,143991000,-286000.0,0.0,5000.0,0.0,0.0,0.0
20,1:18,Stöd för gröna och trygga samhällen,200000000,0.0,0.0,0.0,0.0,-200000000.0,-200000000.0
24,1:19,Finansiering av rättegångskostnader,18000000,0.0,0.0,0.0,0.0,0.0,0.0
20,1:19,Industriklivet,909000000,250000000.0,0.0,0.0,500000000.0,0.0,0.0
22,1:19,Lån till körkort,151466000,0.0,0.0,0.0,0.0,0.0,0.0
23,1:19,Miljöförbättrande åtgärder i jordbruket,42330000,0.0,0.0,0.0,0.0,0.0,0.0
16,1:19,Statligt stöd till yrkeshögskoleutbildning,3815236000,0.0,0.0,250000.0,0.0,200000000.0,0.0
10,1:2,Aktivitets- och sjukersättningar m.m.,41706400000,-574400000.0,-520400000.0,-574000.0,-2387000000.0,0.0,1850000000.0
17,1:2,"Bidrag till allmän kulturverksamhet, utveckling samt internationellt kulturutbyte och samarbete",1450582000,0.0,-390000000.0,0.0,190000000.0,200000000.0,368000000.0
14,1:2,Bidrag till arbetslöshetsersättning och aktivitetsstöd,42743597000,0.0,0.0,-308000.0,-4524000000.0,-20000000.0,1528000000.0
11,1:2,Efterlevandepensioner till vuxna,8834900000,0.0,0.0,0.0,0.0,0.0,0.0
8,1:2,Ersättningar och bostadskostnader,2190000000,0.0,100000000.0,0.0,0.0,-1095000000.0,-200000000.0
5,1:2,Freds- och säkerhetsfrämjande verksamhet,181848000,-144000.0,15000000.0,0.0,0.0,0.0,-10000000.0
6,1:2,Försvarsmaktens insatser internationellt,1476513000,0.0,0.0,0.0,0.0,0.0,-486000000.0
12,1:2,Föräldraförsäkring,48225247000,-3194000000.0,-2412000000.0,-3194000.0,-3194000000.0,-1719000000.0,-110000000.0
21,1:2,Insatser för energieffektivisering,118000000,-100000000.0,0.0,-100000.0,0.0,0.0,0.0
23,1:2,Insatser för skogsbruket,1066073000,0.0,0.0,0.0,-360000000.0,50000000.0,250000000.0
2,1:2,Kammarkollegiet,114574000,-89000.0,0.0,0.0,0.0,0.0,0.0
13,1:2,Kommunersättningar vid flyktingmottagande,4516216000,0.0,0.0,0.0,0.0,-2258000000.0,640000000.0
20,1:2,Miljöövervakning m.m.,513714000,-8000000.0,0.0,-8000.0,0.0,0.0,0.0
26,1:2,Oförutsedda utgifter,10000000,0.0,0.0,0.0,0.0,0.0,0.0
18,1:2,Omstrukturering av kommunala bostadsföretag,12500000,0.0,0.0,0.0,0.0,0.0,0.0
9,1:2,Statens beredning för medicinsk och social utvärdering,91251000,0.0,0.0,0.0,0.0,0.0,0.0
16,1:2,Statens skolinspektion,481927000,-708000.0,0.0,4000.0,60000000.0,200000000.0,0.0
15,1:2,Studiemedel,19741430000,0.0,-1340000000.0,0.0,0.0,740000000.0,780000000.0
7,1:2,Styrelsen för internationellt utvecklingssamarbete (Sida),1652317000,0.0,0.0,19000.0,0.0,-500000000.0,0.0
4,1:2,Säkerhetspolisen,1828382000,0.0,17000000.0,0.0,37000000.0,210000000.0,0.0
19,1:2,Transportbidrag,430864000,0.0,0.0,0.0,0.0,0.0,0.0
3,1:2,Tullverket,2381672000,43000000.0,100000000.0,48000.0,80000000.0,90000000.0,30000000.0
25,1:2,Utjämningsbidrag för LSS-kostnader,4718355000,0.0,0.0,0.0,0.0,0.0,0.0
24,1:2,Verket för innovationssystem: Forskning och utveckling,3540255000,10000000.0,-120000000.0,0.0,0.0,-1000000000.0,0.0
22,1:2,Vidmakthållande av statens transportinfrastruktur,30402263000,300000000.0,0.0,683000.0,525000000.0,500000000.0,4010000000.0
24,1:20,Bidrag till företagsutveckling och innovation,269472000,0.0,0.0,0.0,0.0,0.0,50000000.0
23,1:20,Stöd till jordbrukets rationalisering m.m.,24116000,0.0,0.0,0.0,0.0,0.0,0.0
20,1:20,Åtgärder för ras- och skredsäkring längs Göta älv,215000000,0.0,0.0,0.0,0.0,0.0,0.0
20,1:21,Driftstöd för bio-CCS,10000000,0.0,0.0,10000.0,10000000.0,250000000.0,0.0
24,1:21,Patent- och registreringsverket,335706000,-434000.0,0.0,-1000.0,0.0,11000000.0,0.0
23,1:21,Åtgärder på fjällägenheter,1529000,0.0,0.0,0.0,0.0,0.0,0.0
23,1:22,Främjande av rennäringen m.m.,125915000,0.0,0.0,0.0,0.0,10000000.0,40000000.0
20,1:22,Kompetenslyft för klimatomställningen,100000000,-100000000.0,0.0,-100000.0,0.0,-100000000.0,0.0
24,1:22,Stöd vid korttidsarbete,365000000,0.0,0.0,0.0,0.0,0.0,0.0
24,1:23,Brexitjusteringsreserven,386000000,0.0,0.0,0.0,0.0,0.0,0.0
23,1:23,Sveriges lantbruksuniversitet,2134808000,0.0,0.0,-3000.0,0.0,50000000.0,85000000.0
23,1:24,"Forskningsrådet för miljö, areella näringar och samhällsbyggande: Forskning och samfinansierad forskning",713664000,0.0,0.0,0.0,0.0,50000000.0,0.0
23,1:25,Bidrag till Skogs- och lantbruksakademien,1177000,0.0,0.0,0.0,0.0,0.0,0.0
23,1:26,Nedsättning av slakteriavgifter,73237000,0.0,0.0,0.0,70000000.0,0.0,0.0
23,1:27,Åtgärder för beredskap inom livsmedels- och dricksvattenområdet,15000000,0.0,0.0,0.0,0.0,0.0,0.0
23,1:28,Stödåtgärder för fiske och vattenbruk 2021–2027,101500000,0.0,0.0,0.0,0.0,0.0,0.0
23,1:29,Från EU-budgeten finansierade stödåtgärder för fiske och vattenbruk 2021–2027,120000000,0.0,0.0,0.0,0.0,0.0,0.0
6,1:3,Anskaffning av materiel och anläggningar,19802213000,0.0,0.0,0.0,0.0,1287000000.0,-1300000000.0
15,1:3,Avsättning för kreditförluster,2000641000,0.0,50000000.0,0.0,0.0,0.0,0.0
25,1:3,Bidrag till kommunalekonomiska organisationer,7150000,0.0,0.0,0.0,0.0,0.0,0.0
11,1:3,Bostadstillägg till pensionärer,11461400000,0.0,900000000.0,0.0,0.0,-425000000.0,800000000.0
19,1:3,Europeiska regionala utvecklingsfonden perioden 2014-2020,1600000000,0.0,0.0,0.0,0.0,0.0,0.0
19,1:3,Europeiska regionala utvecklingsfonden perioden 2014–2020,1600000000,0.0,0.0,0.0,0.0,0.0,0.0
2,1:3,Finansinspektionens avgifter till EU:s tillsynsmyndigheter,25150000,0.0,0.0,0.0,0.0,0.0,0.0
13,1:3,Hemutrustningslån,167271000,0.0,0.0,0.0,0.0,-167271000.0,0.0
21,1:3,Insatser för förnybar elproduktion,25000000,0.0,-15000000.0,-25000.0,0.0,-25000000.0,0.0
24,1:3,Institutens strategiska kompetensmedel,997268000,45000000.0,-100000000.0,0.0,0.0,0.0,0.0
14,1:3,Kostnader för arbetsmarknadspolitiska program och insatser,11423145000,0.0,0.0,-899000.0,-2069000000.0,-2500000000.0,989000000.0
3,1:3,Kronofogdemyndigheten,2145164000,0.0,30000000.0,-6000.0,0.0,50000000.0,0.0
10,1:3,Merkostnadsersättning och handikappersättning,1351000000,0.0,0.0,0.0,0.0,30000000.0,0.0
8,1:3,Migrationspolitiska åtgärder,123013000,0.0,0.0,0.0,0.0,-123013000.0,0.0
7,1:3,Nordiska Afrikainstitutet,17308000,0.0,0.0,0.0,0.0,-2000000.0,0.0
5,1:3,Nordiskt samarbete,13595000,4000000.0,0.0,0.0,0.0,10000000.0,0.0
26,1:3,Riksgäldskontorets provisionsutgifter,145200000,0.0,0.0,0.0,0.0,0.0,0.0
17,1:3,Skapande skola,199964000,0.0,10000000.0,0.0,0.0,0.0,0.0
16,1:3,Specialpedagogiska skolmyndigheten,783592000,-2837000.0,0.0,-2000.0,0.0,0.0,255000000.0
23,1:3,Statens veterinärmedicinska anstalt,165256000,0.0,0.0,0.0,0.0,0.0,0.0
18,1:3,Stöd för att underlätta för enskilda att ordna bostad,43000000,0.0,0.0,0.0,0.0,0.0,0.0
9,1:3,Tandvårds- och läkemedelsförmånsverket,160340000,0.0,0.0,-1000.0,5000000.0,0.0,0.0
22,1:3,Trafikverket,1426106000,-2178000.0,0.0,-3000.0,0.0,0.0,0.0
12,1:3,Underhållsstöd,2838365000,0.0,-35000000.0,0.0,-35000000.0,0.0,0.0
4,1:3,Åklagarmyndigheten,1942249000,0.0,0.0,0.0,76000000.0,25000000.0,10000000.0
20,1:3,Åtgärder för värdefull natur,2064035000,160000000.0,0.0,0.0,280000000.0,0.0,0.0
12,1:4,Adoptionsbidrag,14784000,0.0,3200000.0,0.0,0.0,0.0,0.0
2,1:4,Arbetsgivarpolitiska frågor,1693000,0.0,0.0,0.0,0.0,0.0,0.0
10,1:4,Arbetsskadeersättningar m.m.,2252000000,0.0,0.0,0.0,0.0,0.0,0.0
23,1:4,Bidrag till veterinär fältverksamhet,133940000,0.0,0.0,0.0,0.0,0.0,15000000.0
18,1:4,Boverket,316330000,-281000.0,-17000000.0,5000.0,-20000000.0,-2000000.0,500000000.0
8,1:4,Domstolsprövning i utlänningsmål,720015000,-1032000.0,10000000.0,-1000.0,0.0,20000000.0,0.0
