Kod,Namn,Regeringens förslag,Avvikelse från regeringen
1:1,Kungliga hov- och slottsstaten,149157,3000
2:1,Riksdagens ledamöter och partier m.m.,981205,0
2:2,Riksdagens förvaltningsanslag,984675,10000
2:3,Riksdagens fastighetsanslag,120000,0
2:4,Riksdagens ombudsmän (JO),123577,0
2:5,Riksrevisionen,355822,0
3:1,Sametinget,61800,1000
4:1,Regeringskansliet m.m.,8441101,−25000
5:1,Länsstyrelserna m.m.,3573121,15000
6:1,Allmänna val och demokrati,695140,0
6:2,Justitiekanslern,55726,0
6:3,Integritetsskyddsmyndigheten,124792,5000
6:4,Valmyndigheten,27000,0
6:5,Stöd till politiska partier,169200,−19000
6:6,Institutet för mänskliga rättigheter,50000,0
7:1,Åtgärder för nationella minoriteter,207771,0
7:2,Åtgärder för den nationella minoriteten romer,15500,0
8:1,Mediestöd,1055519,−140000
8:2,"Myndigheten för press, radio och tv",45682,0
9:1,Svenska institutet för europapolitiska studier samt EU-information,31550,−19000
1:1,Statskontoret,104034,0
1:2,Kammarkollegiet,114574,0
1:3,Finansinspektionens avgifter till EU:s tillsynsmyndigheter,25150,0
1:4,Arbetsgivarpolitiska frågor,1693,0
1:5,Statliga tjänstepensioner m.m.,14094000,0
1:6,Finanspolitiska rådet,10936,0
1:7,Konjunkturinstitutet,67682,0
1:8,Ekonomistyrningsverket,210340,0
1:9,Statistiska centralbyrån,592901,0
1:10,Bidragsfastigheter,330000,0
1:11,Finansinspektionen,733787,5000
1:12,Riksgäldskontoret,338983,0
1:13,Bokföringsnämnden,13907,0
1:14,Vissa garanti- och medlemsavgifter,290116,0
1:15,Statens servicecenter,882068,0
1:16,Finansmarknadsforskning,49933,0
1:17,Upphandlingsmyndigheten,111079,0
1:1,Skatteverket,8202898,415000
1:2,Tullverket,2381672,90000
1:3,Kronofogdemyndigheten,2145164,50000
99:1,Folkräkning,0,500000
1:1,Polismyndigheten,32985967,3145000
1:2,Säkerhetspolisen,1828382,210000
1:3,Åklagarmyndigheten,1942249,25000
1:4,Ekobrottsmyndigheten,855674,35000
1:5,Sveriges Domstolar,6632674,95000
1:6,Kriminalvården,12162399,717000
1:7,Brottsförebyggande rådet,177371,0
1:8,Rättsmedicinalverket,552653,0
1:9,Brottsoffermyndigheten,43962,0
1:10,Ersättning för skador på grund av brott,200953,175000
1:11,Rättsliga biträden m.m.,3915857,50000
1:12,Kostnader för vissa skaderegleringar m.m.,39987,0
1:13,Avgifter till vissa internationella sammanslutningar,19174,0
1:14,Bidrag till lokalt brottsförebyggande arbete,70157,0
1:15,Säkerhets- och integritetsskyddsnämnden,24804,0
1:16,Domarnämnden,9823,0
1:17,"Från EU-budgeten finansierade insatser avseende EU:s inre säkerhet, gränsförvaltning och visering",226900,0
1:1,Avgifter till internationella organisationer,1533554,0
1:2,Freds- och säkerhetsfrämjande verksamhet,181848,0
1:3,Nordiskt samarbete,13595,10000
1:4,Ekonomiskt bistånd till enskilda utomlands samt diverse kostnader för rättsväsendet,4826,0
1:5,Inspektionen för strategiska produkter,52040,1000
1:6,"Forskning, utredningar och andra insatser rörande säkerhetspolitik, nedrustning och icke-spridning",79358,0
1:7,Bidrag till Stockholms internationella fredsforskningsinstitut (SIPRI),28402,0
1:8,Bidrag till Utrikespolitiska institutet (UI),19175,0
1:9,Svenska institutet,131629,10000
1:10,Information om Sverige i utlandet,15475,0
1:11,Samarbete inom Östersjöregionen,175215,0
1:1,Förbandsverksamhet och beredskap,44207502,1156000
1:2,Försvarsmaktens insatser internationellt,1476513,0
1:3,Anskaffning av materiel och anläggningar,19802213,1287000
1:4,Forskning och teknikutveckling,831905,50000
1:5,Statens inspektion för försvarsunderrättelseverksamheten,11463,0
1:6,Totalförsvarets plikt- och prövningsverk,333842,0
1:7,Officersutbildning m.m.,262289,0
1:8,Försvarets radioanstalt,1551762,30000
1:9,Totalförsvarets forskningsinstitut,241697,50000
1:10,Nämnder m.m.,6986,0
1:11,Försvarets materielverk,2104280,20000
1:12,Försvarsunderrättelsedomstolen,10874,0
2:1,Kustbevakningen,1395048,20000
2:2,Förebyggande åtgärder mot jordskred och andra naturolyckor,521850,20000
2:3,Ersättning för räddningstjänst m.m.,27580,0
2:4,Krisberedskap,1273788,0
2:5,Ersättning till SOS Alarm Sverige AB för alarmeringstjänst enligt avtal,401671,0
2:6,Myndigheten för samhällsskydd och beredskap,1428916,0
2:7,Statens haverikommission,57728,0
2:8,Myndigheten för psykologiskt försvar,103000,0
2:9,Rakel Generation 2,67000,0
3:1,Strålsäkerhetsmyndigheten,407892,0
99:1,Beredskapslager,0,300000
1:1,Biståndsverksamhet,49985150,−16500000
1:2,Styrelsen för internationellt utvecklingssamarbete (Sida),1652317,−500000
1:3,Nordiska Afrikainstitutet,17308,−2000
1:4,Folke Bernadotteakademin,213367,−21000
1:5,Riksrevisionen: Internationellt utvecklingssamarbete,50000,0
1:6,Utvärdering av internationellt bistånd,21620,−2000
1:1,Migrationsverket,4233098,−326000
1:2,Ersättningar och bostadskostnader,2190000,−1095000
1:3,Migrationspolitiska åtgärder,123013,−123013
1:4,Domstolsprövning i utlänningsmål,720015,20000
1:5,Rättsliga biträden m.m. vid domstolsprövning i utlänningsmål,204800,−48000
1:6,Offentligt biträde i utlänningsärenden,249786,−71000
1:7,Utresor för avvisade och utvisade,327202,196000
1:8,Från EU-budgeten finansierade insatser för asylsökande och flyktingar,408450,0
99:1,Fler förvarsplatser,0,210000
1:1,Socialstyrelsen,765160,400000
1:2,Statens beredning för medicinsk och social utvärdering,91251,0
1:3,Tandvårds- och läkemedelsförmånsverket,160340,0
1:4,Tandvårdsförmåner,7062169,0
1:5,Bidrag för läkemedelsförmånerna,33444000,0
1:6,Bidrag till folkhälsa och sjukvård,24868886,515000
1:7,Sjukvård i internationella förhållanden,511472,0
1:8,Bidrag till psykiatri,2162893,400000
1:9,Läkemedelsverket,161835,0
1:10,E-hälsomyndigheten,120078,0
1:11,Prestationsbundna insatser för att korta vårdköerna,3000000,0
1:12,Inspektionen för vård och omsorg,778757,13000
2:1,Folkhälsomyndigheten,511173,0
2:2,Insatser för vaccinberedskap,120500,0
2:3,Bidrag till WHO,46665,0
2:4,Insatser mot hiv/aids och andra smittsamma sjukdomar,75502,0
2:5,"Åtgärder avseende alkohol, narkotika, dopning, tobak samt spel",95629,0
3:1,Myndigheten för delaktighet,62080,0
3:2,Bidrag till funktionshindersorganisationer,188742,0
4:1,Myndigheten för familjerätt och föräldraskapsstöd,32548,0
4:2,Vissa statsbidrag inom funktionshindersområdet,785514,40000
4:3,Bilstöd till personer med funktionsnedsättning,263395,0
4:4,Kostnader för statlig assistansersättning,25043066,990000
4:5,Stimulansbidrag och åtgärder inom äldreområdet,8660490,200000
4:6,Statens institutionsstyrelse,1867518,−184000
4:7,Bidrag till utveckling av socialt arbete m.m.,669151,175000
4:8,Myndigheten för vård- och omsorgsanalys,38094,0
5:1,Barnombudsmannen,26939,0
5:2,Barnets rättigheter,42261,0
6:1,"Forskningsrådet för hälsa, arbetsliv och välfärd: Förvaltning",41002,0
6:2,"Forskningsrådet för hälsa, arbetsliv och välfärd: Forskning",786503,0
99:1,Nationell återhämtningsstrategi för vårdpersonal,0,10000
99:2,Kvinnors hälsa,0,250000
99:3,Nationellt program mot livmoderhalscancer,0,150000
1:1,Sjukpenning och rehabilitering m.m.,41005070,−30000
1:2,Aktivitets- och sjukersättningar m.m.,41706400,0
1:3,Merkostnadsersättning och handikappersättning,1351000,30000
1:4,Arbetsskadeersättningar m.m.,2252000,0
1:5,Ersättning inom det statliga personskadeskyddet,36649,0
1:6,Bidrag för sjukskrivningsprocessen,1491700,100000
1:7,Ersättning för höga sjuklönekostnader,282000,0
2:1,Försäkringskassan,9524366,−193000
2:2,Inspektionen för socialförsäkringen,72272,0
99:1,Sjuklön för småföretag,0,3000000
1:1,Garantipension till ålderspension,13416400,1250000
1:2,Efterlevandepensioner till vuxna,8834900,0
1:3,Bostadstillägg till pensionärer,11461400,−425000
1:4,Äldreförsörjningsstöd,1252200,−25000
1:5,Inkomstpensionstillägg,6121000,0
2:1,Pensionsmyndigheten,700228,0
1:1,Barnbidrag,33426477,0
1:2,Föräldraförsäkring,48225247,−1722000
1:3,Underhållsstöd,2838365,0
1:4,Adoptionsbidrag,14784,0
1:5,Barnpension och efterlevandestöd,1029900,0
1:6,Omvårdnadsbidrag och vårdbidrag,4752293,0
1:7,Pensionsrätt för barnår,8467300,0
1:8,Bostadsbidrag,4286404,750000
99:1,Bidrag till förstföderskor,0,1000000
1:1,Etableringsåtgärder,142030,−137030
1:2,Kommunersättningar vid flyktingmottagande,4516216,−2258000
1:3,Hemutrustningslån,167271,−167271
2:1,Diskrimineringsombudsmannen,129681,−65000
2:2,Åtgärder mot diskriminering och rasism m.m.,100919,0
3:1,Särskilda jämställdhetsåtgärder,640039,75000
3:2,Jämställdhetsmyndigheten,76280,−38000
3:3,Bidrag för kvinnors organisering,28163,0
4:1,Åtgärder mot segregation,500000,−500000
4:2,Delegationen mot segregation,18416,−9000
99:1,Obligatorisk förskola för vissa barn,0,380000
1:1,Arbetsförmedlingens förvaltningskostnader,7810253,0
1:2,Bidrag till arbetslöshetsersättning och aktivitetsstöd,42743597,−20000
1:3,Kostnader för arbetsmarknadspolitiska program och insatser,11423145,−2500000
1:4,Lönebidrag och Samhall m.m.,20684009,100000
1:5,Rådet för Europeiska socialfonden i Sverige,136864,0
1:6,Europeiska socialfonden m.m. för perioden 2014-2020,2545600,0
1:7,Europeiska socialfonden plus m.m. för perioden 2021–2027,225000,0
1:8,Institutet för arbetsmarknads- och utbildningspolitisk utvärdering,43099,0
1:9,Inspektionen för arbetslöshetsförsäkringen,80220,0
1:10,Bidrag till administration av grundbeloppet,59168,0
1:11,Bidrag till Stiftelsen Utbildning Nordkalotten,8303,0
1:12,Bidrag till lönegarantiersättning,1310000,0
1:13,"Nystartsjobb, etableringsjobb och stöd för yrkesintroduktionsanställningar",4771685,−2400000
1:14,Etableringsersättning till vissa nyanlända invandrare,1094895,−550000
1:15,Omställnings- och kompetensstöd genom den offentliga omställningsorganisationen,75000,0
2:1,Arbetsmiljöverket,737550,50000
2:2,Arbetsdomstolen,35448,0
2:3,Internationella arbetsorganisationen (ILO),33722,0
2:4,Medlingsinstitutet,56720,0
2:5,Myndigheten för arbetsmiljökunskap,39448,10000
2:6,Regional skyddsombudsverksamhet,112000,0
99:1,Lärlingsanställningar,0,250000
1:1,Studiehjälp,4439614,−240000
1:2,Studiemedel,19741430,740000
1:3,Avsättning för kreditförluster,2000641,0
1:4,Statens utgifter för studiemedelsräntor,18845,0
1:5,Bidrag till kostnader vid viss gymnasieutbildning och vid viss föräldrautbildning i teckenspråk,62150,0
1:6,Bidrag till vissa studiesociala ändamål,31000,0
1:7,Studiestartsstöd,400000,−400000
1:8,Centrala studiestödsnämnden,1090481,0
1:9,Överklagandenämnden för studiestöd,17324,0
99:1,Studieskuldsavdrag lärare i glesbygd,0,100000
1:1,Statens skolverk,1362338,−55000
1:2,Statens skolinspektion,481927,200000
1:3,Specialpedagogiska skolmyndigheten,783592,0
1:4,Sameskolstyrelsen,58434,0
1:5,Utveckling av skolväsendet och annan pedagogisk verksamhet,4253693,0
1:6,Statligt stöd till särskild utbildning i gymnasieskolan,259837,0
1:7,"Maxtaxa i förskola, fritidshem och annan pedagogisk verksamhet, m.m.",3903000,1000000
1:8,"Bidrag till viss verksamhet inom skolväsendet, m.m.",200720,0
1:9,Bidrag till svensk undervisning i utlandet,112082,0
1:10,Fortbildning av lärare och förskolepersonal,840526,0
1:11,Skolforskningsinstitutet,25450,0
1:12,Praktiknära skolforskning,32043,0
1:13,Bidrag till lärarlöner,4875000,325000
1:14,Särskilda insatser inom skolområdet,203418,0
1:15,Statligt stöd för stärkt likvärdighet och kunskapsutveckling,6553500,−6553500
1:16,Bidrag till vissa studier,17525,0
1:17,Statligt stöd till vuxenutbildning,5417422,0
1:18,Myndigheten för yrkeshögskolan,143991,0
1:19,Statligt stöd till yrkeshögskoleutbildning,3815236,200000
2:1,Universitetskanslersämbetet,171751,0
2:2,Universitets- och högskolerådet,260147,0
2:3,Uppsala universitet: Utbildning på grundnivå och avancerad nivå,2038600,0
2:4,Uppsala universitet: Forskning och utbildning på forskarnivå,2368441,0
2:5,Lunds universitet: Utbildning på grundnivå och avancerad nivå,2355647,0
2:6,Lunds universitet: Forskning och utbildning på forskarnivå,2432733,0
2:7,Göteborgs universitet: Utbildning på grundnivå och avancerad nivå,2386826,0
2:8,Göteborgs universitet: Forskning och utbildning på forskarnivå,1743620,0
2:9,Stockholms universitet: Utbildning på grundnivå och avancerad nivå,1969944,0
2:10,Stockholms universitet: Forskning och utbildning på forskarnivå,1779111,0
2:11,Umeå universitet: Utbildning på grundnivå och avancerad nivå,1590921,0
2:12,Umeå universitet: Forskning och utbildning på forskarnivå,1231968,0
2:13,Linköpings universitet: Utbildning på grundnivå och avancerad nivå,1748520,0
2:14,Linköpings universitet: Forskning och utbildning på forskarnivå,1067162,0
2:15,Karolinska institutet: Utbildning på grundnivå och avancerad nivå,804289,0
2:16,Karolinska institutet: Forskning och utbildning på forskarnivå,1749545,0
2:17,Kungl. Tekniska högskolan: Utbildning på grundnivå och avancerad nivå,1359892,0
2:18,Kungl. Tekniska högskolan: Forskning och utbildning på forskarnivå,1843660,0
2:19,Luleå tekniska universitet: Utbildning på grundnivå och avancerad nivå,763906,0
2:20,Luleå tekniska universitet: Forskning och utbildning på forskarnivå,433513,0
2:21,Karlstads universitet: Utbildning på grundnivå och avancerad nivå,768995,0
2:22,Karlstads universitet: Forskning och utbildning på forskarnivå,285401,0
2:23,Linnéuniversitetet: Utbildning på grundnivå och avancerad nivå,1202655,0
2:24,Linnéuniversitetet: Forskning och utbildning på forskarnivå,390389,0
2:25,Örebro universitet: Utbildning på grundnivå och avancerad nivå,897172,0
2:26,Örebro universitet: Forskning och utbildning på forskarnivå,322304,0
2:27,Mittuniversitetet: Utbildning på grundnivå och avancerad nivå,636012,0
2:28,Mittuniversitetet: Forskning och utbildning på forskarnivå,287390,0
2:29,Malmö universitet: Utbildning på grundnivå och avancerad nivå,1071023,−92000
2:30,Malmö universitet: Forskning och utbildning på forskarnivå,300160,0
2:31,Mälardalens universitet: Utbildning på grundnivå och avancerad nivå,693913,0
2:32,Mälardalens universitet: Forskning och utbildning på forskarnivå,282626,−132000
2:33,Blekinge tekniska högskola: Utbildning på grundnivå och avancerad nivå,289707,0
2:34,Blekinge tekniska högskola: Forskning och utbildning på forskarnivå,109825,0
2:35,Stockholms konstnärliga högskola: Utbildning på grundnivå och avancerad nivå,216661,55639
2:36,Stockholms konstnärliga högskola: Konstnärlig forskning och utbildning på forskarnivå,55639,−55639
2:37,Gymnastik- och idrottshögskolan: Utbildning på grundnivå och avancerad nivå,123864,0
2:38,Gymnastik- och idrottshögskolan: Forskning och utbildning på forskarnivå,34895,0
2:39,Högskolan i Borås: Utbildning på grundnivå och avancerad nivå,571955,0
2:40,Högskolan i Borås: Forskning och utbildning på forskarnivå,106082,0
2:41,Högskolan Dalarna: Utbildning på grundnivå och avancerad nivå,487005,0
2:42,Högskolan Dalarna: Forskning och utbildning på forskarnivå,109431,0
